scene,mode,tier,level,seed,drift_intensity,n_points,voxel_pca_crispness,mme_grid,mom_planarity,bev_edge_density,knn_entropy_mme,chamfer_oracle,realized.range_noise_sigma,realized.b_a_mps2,realized.b_a_mg,realized.b_g_rad_s,realized.b_g_dph,realized.n_objects,realized.dropout_prob,realized.max_range,realized.peak_yaw_rad,realized.step_sigma
room,sensor_noise,noise,0.0,0,0.0,691200,0.9792535120611114,0.772070985590427,0.9149202377228652,0.22292219175055167,19.712693823959874,0.1294653187472271,0.02,,,,,,,,,
room,sensor_noise,noise,0.0,1,0.0,691200,0.9790920849677196,0.7687584158858567,0.8396598216137731,0.21984679805330137,19.701846265265136,0.13052907501370736,0.02,,,,,,,,,
room,sensor_noise,noise,0.0,2,0.0,691200,0.9802160212340321,0.7800770545663304,0.9226006191950464,0.2167821230103277,19.703858079111214,0.1295015320362733,0.02,,,,,,,,,
room,sensor_noise,noise,0.2,0,0.0,691200,0.9660997705060781,0.7101547372094075,0.9144551982516391,0.22332113083726846,18.16300972481601,0.13555340524828086,0.046,,,,,,,,,
room,sensor_noise,noise,0.2,1,0.0,691200,0.966903138190412,0.712762794921425,0.8373040589639781,0.2363403607542569,18.160363532084304,0.13680698627115284,0.046,,,,,,,,,
room,sensor_noise,noise,0.2,2,0.0,691200,0.9678081464063324,0.7202903160610328,0.9213448488587291,0.23473102131420504,18.165738714883624,0.13558019458931897,0.046,,,,,,,,,
room,sensor_noise,noise,0.4,0,0.0,691200,0.9431502129804809,0.6198373102800065,0.8815091986280013,0.247951620880174,17.328065659896012,0.14305404155882595,0.07200000000000001,,,,,,,,,
room,sensor_noise,noise,0.4,1,0.0,691200,0.9447669127663996,0.623795174341202,0.8870867124142233,0.24043502976635717,17.328619679147174,0.1443327901414016,0.07200000000000001,,,,,,,,,
room,sensor_noise,noise,0.4,2,0.0,691200,0.9453527816037893,0.6279375793077072,0.8924463786136152,0.2401763169157414,17.33570138856361,0.14302189497848317,0.07200000000000001,,,,,,,,,
room,sensor_noise,noise,0.6,0,0.0,691200,0.9110920489623746,0.5246181840551631,0.6326594090202178,0.269936552774355,16.731260766151724,0.15113912444296768,0.098,,,,,,,,,
room,sensor_noise,noise,0.6,1,0.0,691200,0.9136140167654847,0.5292574866102079,0.5952491969744068,0.2536600352366772,16.73717258822633,0.15234152039176008,0.098,,,,,,,,,
room,sensor_noise,noise,0.6,2,0.0,691200,0.9147885132810473,0.5324681185513591,0.6574961360123648,0.26257351496760256,16.75481528946112,0.15109583562259304,0.098,,,,,,,,,
room,sensor_noise,noise,0.8,0,0.0,691200,0.8716662716964291,0.4399054648581062,0.3997524752475248,0.2947019896169598,16.259990083525416,0.15938534519663416,0.12400000000000001,,,,,,,,,
room,sensor_noise,noise,0.8,1,0.0,691200,0.8740546419146159,0.4427899454624422,0.40736119775421087,0.2882154205945403,16.271788790359057,0.16056459578746196,0.12400000000000001,,,,,,,,,
room,sensor_noise,noise,0.8,2,0.0,691200,0.8754645144915896,0.44530845334993796,0.41846819024088944,0.30250493822395746,16.27926716077973,0.15942263292951395,0.12400000000000001,,,,,,,,,
room,sensor_noise,noise,1.0,0,0.0,691200,0.825794612162768,0.36942449780708575,0.3149239838659634,0.2867766665055203,15.871005192025532,0.16772343736597878,0.15,,,,,,,,,
room,sensor_noise,noise,1.0,1,0.0,691200,0.8290360859432103,0.37212437218666966,0.28638644918444167,0.3075853593216879,15.881310254502615,0.16883025640988347,0.15,,,,,,,,,
room,sensor_noise,noise,1.0,2,0.0,691200,0.8315897581724545,0.37461015899569555,0.32503075030750306,0.31349450262853845,15.894766702324407,0.16778234380711748,0.15,,,,,,,,,
room,accel_bias,bias,0.0,0,0.0,691200,0.9792535120611114,0.772070985590427,0.9149202377228652,0.22292219175055167,19.712693823959874,0.1294653187472271,,0.0,0.0,,,,,,,
room,accel_bias,bias,0.0,1,0.0,691200,0.9790920849677196,0.7687584158858567,0.8396598216137731,0.21984679805330137,19.701846265265136,0.13052907501370736,,0.0,0.0,,,,,,,
room,accel_bias,bias,0.0,2,0.0,691200,0.9802160212340321,0.7800770545663304,0.9226006191950464,0.2167821230103277,19.703858079111214,0.1295015320362733,,0.0,0.0,,,,,,,
room,accel_bias,bias,0.2,0,0.17776763859038014,691200,0.8441790630636099,0.39496614520244416,0.4304313892436498,0.22576402101966536,17.373342707254086,0.16680050744509745,,0.002,0.2038735983690112,,,,,,,
room,accel_bias,bias,0.2,1,0.17776763859038014,691200,0.8417622615676897,0.3931307901444032,0.46486718080548417,0.2300835645215878,17.36844419824628,0.1665563971241309,,0.002,0.2038735983690112,,,,,,,
room,accel_bias,bias,0.2,2,0.17776763859038014,691200,0.8459793220464492,0.3970975481028113,0.4711578947368421,0.21989830775759386,17.401843651194763,0.16531345121445729,,0.002,0.2038735983690112,,,,,,,
room,accel_bias,bias,0.4,0,0.3555352771807603,691200,0.7262318508624781,0.26134048621070866,0.4047332531087044,0.24367021614723242,16.422879169043735,0.20657279642070783,,0.004,0.4077471967380224,,,,,,,
room,accel_bias,bias,0.4,1,0.3555352771807603,691200,0.7265046050937328,0.260612133970708,0.4091816367265469,0.23555720647210654,16.427460952533522,0.2043548999841805,,0.004,0.4077471967380224,,,,,,,
room,accel_bias,bias,0.4,2,0.3555352771807603,691200,0.725802430867553,0.2601151099535937,0.41365621278285036,0.232256141622526,16.476189416150657,0.2044980854019871,,0.004,0.4077471967380224,,,,,,,
room,accel_bias,bias,0.6,0,0.5333029157711404,691200,0.6947152513058629,0.23155758336978421,0.3279832519190509,0.2391344451993036,15.840053831723583,0.24498449934595473,,0.006,0.6116207951070336,,,,,,,
room,accel_bias,bias,0.6,1,0.5333029157711404,691200,0.6872220579016013,0.22718551230078918,0.313507703332139,0.2343624265430051,15.854721148761719,0.2402501824458328,,0.006,0.6116207951070336,,,,,,,
room,accel_bias,bias,0.6,2,0.5333029157711404,691200,0.6909730689133567,0.22843243281129272,0.3280867436166492,0.2336366265433705,15.900880164876112,0.24039701930958707,,0.006,0.6116207951070336,,,,,,,
room,accel_bias,bias,0.8,0,0.7110705543615206,691200,0.7106582818855693,0.23991571491111321,0.27015643802647415,0.24160789794796067,15.437437843811429,0.28173384039292393,,0.008,0.8154943934760448,,,,,,,
room,accel_bias,bias,0.8,1,0.7110705543615206,691200,0.7075467577294462,0.23779441151351147,0.2673959282892738,0.22707736165404452,15.444602982729073,0.2741395298448316,,0.008,0.8154943934760448,,,,,,,
room,accel_bias,bias,0.8,2,0.7110705543615206,691200,0.709009165064842,0.23841021737144408,0.2693939393939394,0.20401193905824405,15.493233003793497,0.2733247878032996,,0.008,0.8154943934760448,,,,,,,
room,accel_bias,bias,1.0,0,0.8888381929519007,691200,0.696987231231387,0.22814344859187755,0.24964049467932126,0.23456370125297143,15.103424318104242,0.314950300535465,,0.01,1.019367991845056,,,,,,,
room,accel_bias,bias,1.0,1,0.8888381929519007,691200,0.692522256994282,0.2251829227114667,0.23895348837209301,0.23136891229285975,15.116696732896077,0.30644481905577314,,0.01,1.019367991845056,,,,,,,
room,accel_bias,bias,1.0,2,0.8888381929519007,691200,0.6947645083983813,0.22671247528757443,0.24640598044853365,0.23000299771226826,15.17389184739479,0.3050058004597452,,0.01,1.019367991845056,,,,,,,
room,gyro_bias,bias,0.0,0,0.0,691200,0.9792535120611114,0.772070985590427,0.9149202377228652,0.22292219175055167,19.712693823959874,0.1294653187472271,,,,0.0,0.0,,,,,
room,gyro_bias,bias,0.0,1,0.0,691200,0.9790920849677196,0.7687584158858567,0.8396598216137731,0.21984679805330137,19.701846265265136,0.13052907501370736,,,,0.0,0.0,,,,,
room,gyro_bias,bias,0.0,2,0.0,691200,0.9802160212340321,0.7800770545663304,0.9226006191950464,0.2167821230103277,19.703858079111214,0.1295015320362733,,,,0.0,0.0,,,,,
room,gyro_bias,bias,0.2,0,0.09801089092114784,691200,0.9471844154557091,0.6318755215494511,0.7688475589505148,0.22047209159428108,18.910172666287806,0.14137019740629897,,,,2e-05,4.1252961249419275,,,,,
room,gyro_bias,bias,0.2,1,0.09801089092114784,691200,0.9486545088500744,0.6366527985966447,0.7738292925938226,0.20324587325615212,18.87281788723644,0.1426566905659126,,,,2e-05,4.1252961249419275,,,,,
room,gyro_bias,bias,0.2,2,0.09801089092114784,691200,0.9489014831197531,0.6362656359482775,0.7704485488126649,0.21377514547622112,18.83102235108264,0.14128877909820967,,,,2e-05,4.1252961249419275,,,,,
room,gyro_bias,bias,0.4,0,0.19602178184229568,691200,0.8916338816143601,0.45737950419671325,0.7587140439932318,0.22709135092048496,18.522645987880786,0.15317146894552633,,,,4e-05,8.250592249883855,,,,,
room,gyro_bias,bias,0.4,1,0.19602178184229568,691200,0.8921467871884396,0.45664978751979357,0.7619535519125683,0.2250300863869412,18.517984403605755,0.15442242485203184,,,,4e-05,8.250592249883855,,,,,
room,gyro_bias,bias,0.4,2,0.19602178184229568,691200,0.8920952470372416,0.4563950018890463,0.760701044826424,0.22750037462556505,18.444251587049003,0.15374317776808696,,,,4e-05,8.250592249883855,,,,,
room,gyro_bias,bias,0.6,0,0.2940326727634435,691200,0.8874468884362066,0.445997735598486,0.7231217616580311,0.1971011845183326,18.293988249518,0.1632812353831869,,,,6e-05,12.375888374825783,,,,,
room,gyro_bias,bias,0.6,1,0.2940326727634435,691200,0.8881522812839262,0.44538562861296926,0.7300131061598951,0.21760222104184193,18.275520431374563,0.1650544616436656,,,,6e-05,12.375888374825783,,,,,
room,gyro_bias,bias,0.6,2,0.2940326727634435,691200,0.8882873935892882,0.4462674670269398,0.7216890595009597,0.2128723245512806,18.205711322855574,0.16515631692414218,,,,6e-05,12.375888374825783,,,,,
room,gyro_bias,bias,0.8,0,0.39204356368459137,691200,0.868479225781676,0.4065125297885822,0.6169276430252789,0.20742119357325484,18.108314335840202,0.17408655727888028,,,,8e-05,16.50118449976771,,,,,
room,gyro_bias,bias,0.8,1,0.39204356368459137,691200,0.8665926932432814,0.40068496739905346,0.6722609246358455,0.2104610328318185,18.084045776305345,0.17460322170858206,,,,8e-05,16.50118449976771,,,,,
room,gyro_bias,bias,0.8,2,0.39204356368459137,691200,0.8685034664648412,0.4044113998505572,0.6770801113516858,0.20236374068084434,18.015537620971127,0.17562401805436176,,,,8e-05,16.50118449976771,,,,,
room,gyro_bias,bias,1.0,0,0.49005445460573926,691200,0.8721964023925053,0.40972676802757696,0.6705343511450381,0.21007334721790705,17.984206738922317,0.18431154281868,,,,0.0001,20.626480624709636,,,,,
room,gyro_bias,bias,1.0,1,0.49005445460573926,691200,0.8691288623871551,0.4045371563602363,0.669165885660731,0.19769476881971337,17.940259309578927,0.184192752129219,,,,0.0001,20.626480624709636,,,,,
